work_id,rating,count,total_ratings,percent
52087333,1,29,937,3.0949839914621133
1649583,1,53,11250,0.47111111111111115
688299,1,2926,136288,2.1469241606010803
3464264,1,9099,545418,1.6682617735388272
45600,1,172,6423,2.677876381753075
233843,1,143,11847,1.2070566388115136
34860,1,143,10778,1.32677676748933
979333,1,67,2677,2.50280164363093
709793,1,913,32630,2.7980386147716825
15038,1,81,6536,1.2392900856793145
442715,1,290,21714,1.335543888735378
5379592,1,159,4967,3.201127441111335
9667210,1,73,6948,1.0506620610247552
230213,1,35,7105,0.49261083743842365
1458314,1,173,11835,1.4617659484579637
888608,1,206,9071,2.2709734318156762
1093445,1,33,13051,0.2528541874185886
464896,1,195,6151,3.1702162250040646
54171514,1,331,29061,1.1389835174288565
45087110,1,247,21673,1.1396668666082224
52752877,1,199,18065,1.1015776363133132
52260944,1,264,5557,4.7507648011517
921238,1,66,4502,1.4660151043980452
52367801,1,2,256,0.78125
16237035,1,139,7994,1.7388041030773078
869942,1,1044,23811,4.384528159254127
50887447,1,34,1382,2.460202604920405
842164,1,11,5363,0.20510908073839268
137242,1,260,18848,1.3794567062818337
18342979,1,45,3475,1.2949640287769784
2217009,1,494,39388,1.2541890931248096
463514,1,710,25770,2.7551416375630575
7307773,1,187,17761,1.0528686447835145
54876339,1,16,1949,0.8209338122113904
1113882,1,15,5569,0.2693481774106662
40954,1,59,5260,1.1216730038022813
1237325,1,157,18099,0.8674512404000221
4001234,1,22,4689,0.46918319471102576
1775449,1,385,25367,1.517719872275003
6573245,1,210,10170,2.0648967551622417
408663,1,45,2456,1.8322475570032575
3125926,1,960,108079,0.8882391583933974
41947327,1,144,3804,3.7854889589905363
1300442,1,360,55618,0.6472724657484986
2905754,1,53,10085,0.5255329697570649
1832531,1,89,7116,1.2507026419336704
2705,1,75,4659,1.6097875080489377
372563,1,9,3071,0.29306414848583523
16499,1,112,3214,3.484754200373367
2114772,1,438,23593,1.856482855084135
46898060,1,40,1473,2.7155465037338766
6876264,1,48,4111,1.1675991243006567
6876265,1,7,1928,0.3630705394190871
50491257,1,96,3477,2.76100086281277
42329914,1,102,4055,2.5154130702836004
403860,1,34,6522,0.5213124808341
52644455,1,12,3028,0.3963011889035667
575142,1,273,13355,2.0441782104080866
478724,1,94,3522,2.668938103350369
3237312,1,1513,84516,1.7901935728146148
47455310,1,5,687,0.727802037845706
2421914,1,202,14598,1.3837511987943554
2421893,1,109,4979,2.189194617393051
6602940,1,64,4954,1.2918853451756156
381600,1,75,5900,1.2711864406779663
2643400,1,85,10659,0.7974481658692184
3316094,1,478,33481,1.4276753979869181
507263,1,84,4868,1.725554642563681
1734580,1,669,26754,2.50056066382597
24665786,1,173,22214,0.7787881516160979
2668285,1,436,19620,2.2222222222222223
1743336,1,6279,154173,4.072697554046428
1104949,1,153,4906,3.1186302486750916
785113,1,91,2422,3.7572254335260116
1299178,1,2747,125908,2.181751755249865
813988,1,274,21802,1.25676543436382
50007274,1,13,944,1.3771186440677965
190388,1,68,3978,1.7094017094017095
44612538,1,6,112,5.357142857142857
12393400,1,17,501,3.3932135728542914
3338224,1,209,12367,1.6899814021185413
2337441,1,141,5996,2.351567711807872
2103634,1,3611,48039,7.516809259143613
56510320,1,6,581,1.0327022375215147
55324937,1,190,7338,2.5892613791223766
2835954,1,44,7875,0.5587301587301587
1794658,1,126,8177,1.5409074232603646
3207953,1,770,43046,1.7887840914370672
26586408,1,82,3837,2.137086265311441
3127921,1,478,30786,1.552653803676996
2093215,1,127,10656,1.1918168168168168
81248,1,94,11584,0.81146408839779
1346999,1,69,5679,1.2150026413100898
52475725,1,49,6453,0.7593367426003409
42269229,1,3,561,0.53475935828877
2954242,1,52,10827,0.4802807795326498
1612722,1,297,22580,1.3153232949512843
53497419,1,25,3118,0.8017960230917255
953226,1,653,11783,5.541882372910125
1686300,1,54,13053,0.41369800045966443
6982485,1,57,9881,0.5768646898087237
519375,1,74,4166,1.7762842054728758
192659,1,1208,20051,6.024637175203232
278178,1,263,17932,1.4666517956725407
170361,1,68,2393,2.841621395737568
1685458,1,66,6981,0.9454232917920068
2118902,1,528,16941,3.116699132282628
45323810,1,7,195,3.5897435897435894
